station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
06C,2021-01-01 10:35,-88.1012,41.9893,243.48,31.50,28.00,86.71,80.00,7.00,0.00,30.07,null,7.00,null,OVC,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,24.17,K06C 011635Z AUTO 08007KT 7SM OVC010 00/M02 A3007 RMK AO2 T10031022
06C,2021-01-01 10:55,-88.1012,41.9893,243.48,31.60,28.40,87.79,60.00,6.00,0.00,30.03,null,4.00,null,OVC,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,25.05,K06C 011655Z AUTO 06006KT 4SM OVC010 00/M02 A3003 RMK AO2 T10021020
06C,2021-01-01 11:15,-88.1012,41.9893,243.48,31.80,28.80,88.52,60.00,6.00,0.00,30.01,null,4.00,null,OVC,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,25.29,K06C 011715Z AUTO 06006KT 4SM OVC010 00/M02 A3001 RMK AO2 T10011018
06C,2021-01-01 11:35,-88.1012,41.9893,243.48,32.00,29.10,88.90,50.00,7.00,0.00,29.98,null,2.50,null,OVC,null,null,null,800.00,null,null,null,null,null,null,null,null,null,null,24.78,K06C 011735Z AUTO 05007KT 020V080 2 1/2SM OVC008 00/M02 A2998 RMK AO2 T00001016
06C,2021-01-01 11:55,-88.1012,41.9893,243.48,32.00,29.50,90.36,30.00,9.00,0.03,29.93,null,2.00,16.00,OVC,null,null,null,800.00,null,null,null,null,null,null,null,null,null,null,23.51,K06C 011755Z AUTO 03009G16KT 2SM OVC008 00/M01 A2993 RMK AO2 P0003 60003 T00001014 10000 21043
06C,2021-01-01 12:15,-88.1012,41.9893,243.48,32.00,30.00,92.22,40.00,10.00,0.04,29.90,null,2.00,18.00,OVC,null,null,null,800.00,null,null,null,null,null,null,null,null,null,null,22.97,K06C 011815Z AUTO 04010G18KT 2SM OVC008 00/M01 A2990 RMK AO2 P0004 T00001011
06C,2021-01-01 12:35,-88.1012,41.9893,243.48,32.00,30.20,92.97,50.00,9.00,0.05,29.88,null,4.00,18.00,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,23.51,K06C 011835Z AUTO 05009G18KT 020V090 4SM OVC006 00/M01 A2988 RMK AO2 P0005 T00001010
06C,2021-01-01 12:55,-88.1012,41.9893,243.48,32.00,30.70,94.88,60.00,11.00,0.05,29.87,null,3.00,15.00,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,22.47,K06C 011855Z AUTO 06011G15KT 3SM OVC006 00/M01 A2987 RMK AO2 P0005 T00001007
06C,2021-01-01 13:15,-88.1012,41.9893,243.48,32.20,31.10,95.66,60.00,9.00,0.01,29.84,null,2.00,15.00,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,23.76,K06C 011915Z AUTO 06009G15KT 2SM OVC006 00/00 A2984 RMK AO2 P0001 T00011005
06C,2021-01-01 13:35,-88.1012,41.9893,243.48,32.20,31.10,95.66,60.00,8.00,0.02,29.85,null,3.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,24.36,K06C 011935Z AUTO 06008KT 030V090 3SM OVC006 00/00 A2985 RMK AO2 P0002 T00011005
06C,2021-01-01 13:55,-88.1012,41.9893,243.48,32.40,31.50,96.44,60.00,6.00,0.02,29.84,null,3.00,14.00,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,26.01,K06C 011955Z AUTO 06006G14KT 3SM OVC006 00/00 A2984 RMK AO2 P0002 T00021003
06C,2021-01-01 14:15,-88.1012,41.9893,243.48,32.90,31.60,94.90,60.00,8.00,0.00,29.83,null,3.00,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,25.22,K06C 012015Z AUTO 06008KT 3SM OVC004 01/00 A2983 RMK AO2 T00051002
06C,2021-01-01 14:35,-88.1012,41.9893,243.48,32.90,31.80,95.67,50.00,7.00,0.00,29.81,null,2.50,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,25.88,K06C 012035Z AUTO 05007KT 2 1/2SM OVC004 01/00 A2981 RMK AO2 T00051001
06C,2021-01-01 14:50,-88.1012,41.9893,243.48,32.90,31.80,95.67,60.00,7.00,0.01,29.81,null,3.00,15.00,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,25.88,K06C 012050Z AUTO 06007G15KT 3SM OVC004 01/00 A2981 RMK AO2 P0001 60008 T00051001
06C,2021-01-01 15:15,-88.1012,41.9893,243.48,32.90,31.80,95.67,60.00,7.00,0.00,29.79,null,2.50,15.00,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,25.88,K06C 012115Z AUTO 06007G15KT 2 1/2SM OVC004 01/00 A2979 RMK AO2 T00051001
06C,2021-01-01 15:35,-88.1012,41.9893,243.48,32.90,32.00,96.44,50.00,8.00,0.00,29.79,null,3.00,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,25.22,K06C 012135Z AUTO 05008KT 3SM OVC004 01/00 A2979 RMK AO2 T00050000
06C,2021-01-01 15:55,-88.1012,41.9893,243.48,32.90,32.00,96.44,50.00,8.00,0.00,29.78,null,3.00,14.00,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,25.22,K06C 012155Z AUTO 05008G14KT 3SM OVC004 01/00 A2978 RMK AO2 T00050000
06C,2021-01-01 16:15,-88.1012,41.9893,243.48,33.10,32.00,95.67,40.00,8.00,0.00,29.79,null,2.50,15.00,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,25.47,K06C 012215Z AUTO 04008G15KT 360V070 2 1/2SM OVC004 01/00 A2979 RMK AO2 T00060000
06C,2021-01-01 16:35,-88.1012,41.9893,243.48,33.30,32.00,94.91,40.00,7.00,0.00,29.78,null,2.50,15.00,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,26.36,K06C 012235Z AUTO 04007G15KT 010V070 2 1/2SM OVC004 01/00 A2978 RMK AO2 T00070000
06C,2021-01-01 16:55,-88.1012,41.9893,243.48,33.60,32.40,95.30,70.00,8.00,0.00,29.79,null,3.00,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,26.08,K06C 012255Z AUTO 07008KT 3SM OVC004 01/00 A2979 RMK AO2 T00090002
06C,2021-01-01 17:15,-88.1012,41.9893,243.48,33.80,32.50,94.92,50.00,7.00,0.00,29.80,null,2.00,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,26.97,K06C 012315Z AUTO 05007KT 2SM OVC004 01/00 A2980 RMK AO2 T00100003
06C,2021-01-01 17:35,-88.1012,41.9893,243.48,33.80,32.90,96.46,40.00,8.00,0.02,29.80,null,1.75,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,26.33,K06C 012335Z AUTO 04008KT 1 3/4SM OVC004 01/01 A2980 RMK AO2 P0002 T00100005
06C,2021-01-01 17:55,-88.1012,41.9893,243.48,33.80,32.50,94.92,0.00,0.00,0.04,29.81,null,4.00,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,null,K06C 012355Z AUTO 00000KT 4SM OVC004 01/00 A2981 RMK AO2 P0004 60012 T00100003 10010 20000
06C,2021-01-01 18:15,-88.1012,41.9893,243.48,33.30,32.20,95.68,20.00,6.00,0.03,29.81,null,2.50,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,27.10,K06C 020015Z AUTO 02006KT 2 1/2SM OVC004 01/00 A2981 RMK AO2 P0003 T00070001
06C,2021-01-01 18:35,-88.1012,41.9893,243.48,33.10,32.00,95.67,30.00,6.00,0.04,29.81,null,2.00,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,26.86,K06C 020035Z AUTO 03006KT 2SM OVC004 01/00 A2981 RMK AO2 P0004 T00060000
06C,2021-01-01 18:55,-88.1012,41.9893,243.48,32.90,32.00,96.44,10.00,6.00,0.06,29.81,null,2.00,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,26.61,K06C 020055Z AUTO 01006KT 2SM OVC004 01/00 A2981 RMK AO2 P0006 T00050000
06C,2021-01-01 19:15,-88.1012,41.9893,243.48,32.90,32.00,96.44,10.00,7.00,0.01,29.82,null,1.50,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,25.88,K06C 020115Z AUTO 01007KT 1 1/2SM OVC004 01/00 A2982 RMK AO2 P0001 T00050000
